"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VQJ2MHER","journalArticle","2024","Sherlock, Brock D.; Boon, Marko A. A.; Vlasiou, Maria; Coster, Adelle C. F.","The Distance Between: An Algorithmic Approach to Comparing Stochastic Models to Time-Series Data","Bulletin of Mathematical Biology","","0092-8240, 1522-9602","10.1007/s11538-024-01331-y","https://link.springer.com/10.1007/s11538-024-01331-y","Abstract             While mean-field models of cellular operations have identified dominant processes at the macroscopic scale, stochastic models may provide further insight into mechanisms at the molecular scale. In order to identify plausible stochastic models, quantitative comparisons between the models and the experimental data are required. The data for these systems have small sample sizes and time-evolving distributions. The aim of this study is to identify appropriate distance metrics for the quantitative comparison of stochastic model outputs and time-evolving stochastic measurements of a system. We identify distance metrics with features suitable for driving parameter inference, model comparison, and model validation, constrained by data from multiple experimental protocols. In this study, stochastic model outputs are compared to synthetic data across three scales: that of the data at the points the system is sampled during the time course of each type of experiment; a combined distance across the time course of each experiment; and a combined distance across all the experiments. Two broad categories of comparators at each point were considered, based on the empirical cumulative distribution function (ECDF) of the data and of the model outputs: discrete based measures such as the Kolmogorov–Smirnov distance, and integrated measures such as the Wasserstein-1 distance between the ECDFs. It was found that the discrete based measures were highly sensitive to parameter changes near the synthetic data parameters, but were largely insensitive otherwise, whereas the integrated distances had smoother transitions as the parameters approached the true values. The integrated measures were also found to be robust to noise added to the synthetic data, replicating experimental error. The characteristics of the identified distances provides the basis for the design of an algorithm suitable for fitting stochastic models to real world stochastic data.","2024-09","2025-03-07 13:14:25","2025-03-07 13:26:44","2025-03-07 13:26:44","111","","9","86","","Bull Math Biol","The Distance Between","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 46d9a2d628af491f996d98ad81875ef9 Publisher: Springer","","","","Distance between evolving distributions; Distance metrics; Multiple experiments; Time-series data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACGTVYF7","journalArticle","2025","Husić, Edin; Koh, Zhuan Khye; Loho, Georg; Végh, László A.","On the correlation gap of matroids","Mathematical Programming","","0025-5610, 1436-4646","10.1007/s10107-024-02116-w","https://link.springer.com/10.1007/s10107-024-02116-w","Abstract                            A set function can be extended to the unit cube in various ways; the correlation gap measures the ratio between two natural extensions. This quantity has been identified as the performance guarantee in a range of approximation algorithms and mechanism design settings. It is known that the correlation gap of a monotone submodular function is at least                                                   $$1-1/e$$                                                               1                       -                       1                       /                       e                                                                                       , and this is tight for simple matroid rank functions. We initiate a fine-grained study of the correlation gap of matroid rank functions. In particular, we present an improved lower bound on the correlation gap as parametrized by the rank and girth of the matroid. We also show that for any matroid, the correlation gap of its weighted rank function is minimized under uniform weights. Such improved lower bounds have direct applications for submodular maximization under matroid constraints, mechanism design, and contention resolution schemes.","2025-03","2025-03-07 13:14:25","2025-03-07 13:26:21","2025-03-07 13:26:21","407-456","","1-2","210","","Math. Program.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 28d166573fe849f28ac05ba734391710 Publisher: Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUSVPTCL","journalArticle","2024","Boelema, Hiska M.; Dams, Daan J.J.; O’Reilly, Małgorzata M.; Scheinhardt, Werner R.W.; Taylor, Peter G.","A stochastic fluid model approach to the stationary distribution of the maximal priority process","Stochastic Models","","1532-6349, 1532-4214","10.1080/15326349.2024.2375195","https://www.tandfonline.com/doi/full/10.1080/15326349.2024.2375195","We consider a two-class priority queue in which the priority of a customer increases linearly at some constant, class-dependent rate. We describe the related maximum priority process (Formula presented.), which is of interest since the stationary distribution of the maximum priority process at the times of the commencement of service gives information about the waiting time distributions of the two classes of customers. In the case where service times are exponential, we map a two-class maximum priority process (Formula presented.) to a tandem fluid queue, and use this mapping in order to derive the stationary distribution of (Formula presented.). Further, we extended these results to the maximum priority process in which service times are phase-type distributed. We illustrate the theory with numerical examples.","2024-08-04","2025-03-07 13:14:25","2025-03-07 13:26:01","2025-03-07 13:26:01","1-24","","","","","Stochastic Models","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 031e248beacc4c85be969c78fe148c42 Publisher: Taylor & Francis","","","","UT-Hybrid-D; Accumulating priority queue; Laplace-Stieltjes transform; Markov chain; Phase-type distribution; Stationary distribution; Stochastic fluid model; Tandem fluid queue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PG9GGDH","journalArticle","2024","Cortez, Juan Carlos; López, Juan Camilo; Ullon, Hernan R.; Giesbrecht, Mateus; Rider, Marcos J.","Day-Ahead Photovoltaic Power Forecasting Using Deep Learning with an Autoencoder-Based Correction Strategy","Journal of Control, Automation and Electrical Systems","","2195-3880, 2195-3899","10.1007/s40313-024-01099-5","https://link.springer.com/10.1007/s40313-024-01099-5","Accurate forecasting is crucial for successfully integrating photovoltaic (PV) power plants into electrical grids and microgrids. Accordingly, this work presents a hybrid methodology for day-ahead PV power forecasting (PPF). It begins by examining three deep learning (DL) techniques, long short-term memory (LSTM), gated recurrent unit (GRU), and multilayer perceptron (MLP), as potential forecasting models. To find a robust forecasting model, feature selection is employed to select the most relevant input features, and additionally, hyperparameter optimization is performed using the Chu–Beasley genetic algorithm to automatically set the hyperparameters for each technique. An initial day-ahead PPF is computed recursively after selecting the optimal forecasting model. Subsequently, this initial forecast is refined using a long-short-term memory autoencoder (LSTM-AE) that corrects the initial PPF. To further enhance the interpretability of the final forecast, the k-means algorithm, incorporating a soft-dynamic time warping (DTW) metric, is utilized. The efficacy of the methodology is validated using real data from a solar farm at the State University of Campinas (UNICAMP) in Brazil. Empirical results demonstrate that the proposed methodology improves the forecast accuracy by more than 3.5","2024-08","2025-03-07 13:14:25","2025-03-07 13:26:09","2025-03-07 13:26:09","662-676","","4","35","","J Control Autom Electr Syst","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: a0c194c261db4a68a9d019381f42e8a0 Publisher: Springer Science + Business Media","","","","2024 OA procedure; Day-ahead forecasting; Deep learning; Hyperparameter optimization; k-means; Photovoltaic power forecasting; Soft-DTW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YH3CK7LE","journalArticle","2024","Van Lieshout, M. N. M.; Baki, Z.","Exploring Seismic Hazard in the Groningen Gas Field Using Adaptive Kernel Smoothing","Mathematical Geosciences","","1874-8961, 1874-8953","10.1007/s11004-023-10081-x","https://link.springer.com/10.1007/s11004-023-10081-x","Abstract             The discovery of gas in Groningen in 1959 has been a massive boon to the Dutch economy. From the 1990s onwards, though, gas production has led to induced seismicity. In this paper, we carry out a comprehensive exploratory analysis of the spatio-temporal earthquake catalogue. We develop a non-parametric adaptive kernel smoothing technique to estimate the spatio-temporal hazard map and to interpolate monthly well-based gas production statistics. Second- and higher-order inhomogeneous summary statistics are used to show that the state-of-the-art rate-and-state models for the prediction of seismic hazard fail to capture inter-event interaction in the earthquake catalogue. Based on these findings, we suggest a modified rate-and-state model that also takes into account changes in gas production volumes and uncertainty in the pore pressure field.","2024-08","2025-03-07 13:14:25","2025-03-07 13:26:53","2025-03-07 13:26:53","1185-1206","","6","56","","Math Geosci","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 256a280cd6f74a0f8ee28db418c04421 Publisher: Springer Netherlands","","","","UT-Hybrid-D; Adaptive bandwidth selection; Induced seismicity; Inhomogeneous summary statistics; Kernel smoothing; Pore pressure; Spatio-temporal point processes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3JF8CHGL","journalArticle","2024","Schmidt-Hieber, Johannes; Zamolodtchikov, Petr","Local convergence rates of the nonparametric least squares estimator with applications to transfer learning","Bernoulli","","1350-7265","10.3150/23-BEJ1655","https://projecteuclid.org/journals/bernoulli/volume-30/issue-3/Local-convergence-rates-of-the-nonparametric-least-squares-estimator-with/10.3150/23-BEJ1655.full","Convergence properties of empirical risk minimizers can be conveniently expressed in terms of the associated population risk. To derive bounds for the performance of the estimator under covariate shift, however, pointwise convergence rates are required. Under weak assumptions on the design distribution, it is shown that least squares estimators (LSE) over 1-Lipschitz functions are also minimax rate optimal with respect to a weighted uniform norm, where the weighting accounts in a natural way for the non-uniformity of the design distribution. This implies that although least squares is a global criterion, the LSE adapts locally to the size of the design density. We develop a new indirect proof technique that establishes the local convergence behavior based on a carefully chosen local perturbation of the LSE. The obtained local rates are then applied to analyze the LSE for transfer learning under covariate shift.","2024-08-01","2025-03-07 13:14:25","2025-03-07 13:26:42","2025-03-07 13:26:42","1845–1877","","3","30","","Bernoulli","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 04ff65468e774feba063df563e307b1c Publisher: Bernoulli Society for Mathematical Statistics and Probability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJKP76HF","journalArticle","2024","Kala, Vítězslav; Melistas, Mentzelos","Universal quadratic forms and Dedekind zeta functions","International Journal of Number Theory","","1793-0421, 1793-7310","10.1142/S1793042124500908","https://www.worldscientific.com/doi/10.1142/S1793042124500908","We study universal quadratic forms over totally real number fields using Dedekind zeta functions. In particular, we prove an explicit lower bound for the rank of universal quadratic forms over a given number field K, under the assumption that the codifferent of K is generated by a totally positive element. Motivated by a possible path to remove that assumption, we also investigate the smallest number of generators for the positive part of ideals in totally real numbers fields.","2024-08","2025-03-07 13:14:25","2025-03-07 13:26:24","2025-03-07 13:26:24","1833-1847","","07","20","","Int. J. Number Theory","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 64297d4180664de28239143bcfae3031 Publisher: World Scientific Press","","","","NLA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5BMU9VN","journalArticle","2024","Di Bucchianico, Alessandro; Spieksma, Frits; Vlasiou, Maria","Learning by Doing: The Industrial and Applied Mathematics Program at Eindhoven University of Technology","INFORMS Journal on Applied Analytics","","2644-0865, 2644-0873","10.1287/inte.2023.0046","https://pubsonline.informs.org/doi/10.1287/inte.2023.0046","The Industrial and Applied Mathematics (IAM) master’s program at Eindhoven University of Technology received the INFORMS UPS George D. Smith Prize in 2022. This paper highlights the department’s history, the innovative aspects of the program, and its role in educating operations research practitioners. Eindhoven University of Technology emphasizes industry collaboration, societal involvement, and scientific excellence, principles that are integral to the IAM program.           ,              The Industrial and Applied Mathematics (IAM) master’s program of the Department of Mathematics and Computer Science at the Eindhoven University of Technology was awarded the INFORMS UPS George D. Smith Prize in 2022. This paper provides an overview of the department’s history, highlights the program’s innovative aspects that led to its recognition, and describes how the program aims at educating operations research (OR) practitioners for today’s society. Eindhoven University of Technology emphasizes collaboration with industry, societal involvement, and scientific excellence. These principles permeate all of its departments and programs. We explain how IAM contributes to this mission, and we explore the educational approaches that are used to prepare skilled OR practitioners.             History: This paper was refereed.             Funding: This work was partially supported by the INFORMS UPS George D. Smith Prize 2022.","2024-07-18","2025-03-07 13:14:25","2025-03-07 13:26:15","2025-03-07 13:26:15","inte.2023.0046","","","","","INFORMS Journal on Applied Analytics","Learning by Doing","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 2856f422c5764beabc32b5c2917eaa4f Publisher: INFORMS Institute for Operations Research and the Management Sciences","","","","2024 OA procedure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BY5BJHAH","journalArticle","2024","Melistas, Mentzelos","Reduction types of CM curves","Pacific Journal of Mathematics","","1945-5844, 0030-8730","10.2140/pjm.2024.329.233","https://msp.org/pjm/2024/329-2/p03.xhtml","We study the reduction properties of low genus curves whose Jacobian has complex multiplication. In the elliptic curve case, we classify the possible Kodaira types of reduction that can occur. Moreover, we investigate the possible Namikawa–Ueno types that can occur for genus 2 curves whose Jacobian has complex multiplication which is defined over the base field. We also produce bounds on the torsion subgroup of abelian varieties with complex multiplication defined over local fields.","2024-07-06","2025-03-07 13:14:25","2025-03-07 13:26:33","2025-03-07 13:26:33","233-257","","2","329","","Pacific J. Math.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 0891c1635bf3432492ed1c526dc07ad9 Publisher: Mathematical Sciences Publishers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDSQUT6F","journalArticle","2024","Clara, Gabriel; Langer, Sophie; Schmidt-Hieber, Johannes","Dropout regularization versus l2-penalization in the linear model","Journal of Machine Learning Research","","1532-4435","","","We investigate the statistical behavior of gradient descent iterates with dropout in the linear regression model. In particular, non-asymptotic bounds for the convergence of expectations and covariance matrices of the iterates are derived. The results shed more light on the widely cited connection between dropout and ℓ2-regularization in the linear model. We indicate a more subtle relationship, owing to interactions between the gradient descent dynamics and the additional randomness induced by dropout. Further, we study a simplified variant of dropout which does not have a regularizing effect and converges to the least squares estimator.","2024-07-01","2025-03-07 13:14:25","2025-03-07 13:17:59","","1–48","","","25","","J. Mach. Learn. Res.","","","","","","","","en","","","","","","","Citation Key: 0c77b65305de4b99a47e845c81928538 Publisher: Microtome Publishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W72BPAYP","journalArticle","2024","López, Juan Camilo; Pappu, Aditya; Hoogsteen, Gerwin; Hurink, Johann L.; Rider, Marcos J.","Distributed management of energy communities using stochastic profile steering","International Journal of Electrical Power & Energy Systems","","01420615","10.1016/j.ijepes.2024.109973","https://linkinghub.elsevier.com/retrieve/pii/S0142061524001947","This paper presents a novel approach for distributed management of energy communities. The proposed method utilizes a stochastic profile steering algorithm as a greedy heuristic. The optimization process considers random parameters such as local forecasted demand, photovoltaic (PV) production, and the initial energy of electric vehicles (EVs) as embedded scenarios. Profile steering coordinates the flexible electricity assets within an energy community by determining the contribution of each prosumer's profile to the average value of the objective function. It iteratively selects the prosumer that contributes the most until no further improvements can be made. This process scales linearly with the number of controllable prosumers and can achieve various community-level objectives, such as maximizing self-sufficiency or minimizing aggregated cost-of-energy, even when dealing with non-convex optimization problems for modeling each prosumer's local energy management system. The outcome of the proposed method optimizes the average value of the community's objective while ensuring that grid limitations are met within a specified probability. The proposed method is evaluated through simulations involving small-scale communities (5 households) and large-scale communities (100 households). The results demonstrate the efficiency, flexibility, and scalability of the proposed method, as well as its ability to reschedule the aggregated demand to ensure that grid limits are not violated with at least a 95","2024-07","2025-03-07 13:14:25","2025-03-07 13:26:29","2025-03-07 13:26:29","109973","","","158","","International Journal of Electrical Power & Energy Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: c42e0989754e4d5f9aeecf05139988e0 Publisher: Elsevier Ltd","","","","UT-Hybrid-D; Distributed energy management system; Energy communities; Flexible energy assets; Probabilistic grid limits; Stochastic profile steering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HIGXK8X","journalArticle","2024","Bos, Hayo; Boucherie, Richard J.; Hans, Erwin W.; Leeftink, Gréanne","Distributionally robust scheduling of stochastic knapsack arrivals","Computers & Operations Research","","03050548","10.1016/j.cor.2024.106641","https://linkinghub.elsevier.com/retrieve/pii/S0305054824001138","This paper studies the discrete-time Stochastic Knapsack with Periodic Scheduled Arrivals (SKPSA). The goal is to find a schedule such that the capacity usage of the unconstrained cousin of the knapsack is as close as possible to a target utilization. We approximate the SKPSA with a Wasserstein distance based Distributionally Robust Optimization (DRO) model, resulting in the DRO-SKPSA. We present an algorithm that efficiently solves this model, and show that the DRO-SKPSA produces robust schedules. The problem arises in particular in healthcare settings in the development of Master Surgical Schedules (MSSs). We discuss managerial insights for MSSs with downstream capacity constraints.","2024-07","2025-03-07 13:14:25","2025-03-07 13:26:02","2025-03-07 13:26:02","106641","","","167","","Computers & Operations Research","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 7b505c1a09e04392b3dcbf849a604d3c Publisher: Elsevier Ltd","","","","UT-Hybrid-D; Cyclic schedule; Distributionally robust optimization; Master surgical schedule; Scheduled arrivals; Stochastic knapsack; Wasserstein distance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FF4XGDA","journalArticle","2024","Celaya, Marcel; Loho, Georg; Yuen, Chi Ho","Oriented matroids from triangulations of products of simplices","Selecta Mathematica","","1022-1824, 1420-9020","10.1007/s00029-024-00938-2","https://link.springer.com/10.1007/s00029-024-00938-2","Abstract             We introduce a construction of oriented matroids from a triangulation of a product of two simplices. For this, we use the structure of such a triangulation in terms of polyhedral matching fields. The oriented matroid is composed of compatible chirotopes on the cells in a matroid subdivision of the hypersimplex, which might be of independent interest. In particular, we generalize this using the language of matroids over hyperfields, which gives a new approach to construct matroids over hyperfields. A recurring theme in our work is that various tropical constructions can be extended beyond tropicalization with new formulations and proof methods.","2024-07","2025-03-07 13:14:25","2025-03-07 13:26:06","2025-03-07 13:26:06","47","","3","30","","Sel. Math. New Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: a4371897e32942508494910b2118fae4 Publisher: Birkhäuser","","","","UT-Hybrid-D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S829LVRV","journalArticle","2024","Melistas, Mentzelos","Reduction and isogenies of elliptic curves","Acta Arithmetica","","0065-1036, 1730-6264","10.4064/aa230929-17-4","http://www.impan.pl/get/doi/10.4064/aa230929-17-4","Let R be a complete discrete valuation ring with fraction field K and perfect residue field k of characteristic p¿0. Let E/K be an elliptic curve with a K-rational isogeny of prime degree ℓ. We study the possible Kodaira types of reduction that E/K can have. We also prove some related results for elliptic curves over ℚ.","2024","2025-03-07 13:14:25","2025-03-07 13:26:32","2025-03-07 13:26:32","179-192","","2","215","","Acta Arith.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 5558cc24ce40416e81f13ace84930706 Publisher: Instytut Matematyczny","","","","NLA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGQZ9HDE","journalArticle","2024","Buist, Merel; Vaisman, Radislav; Vlasiou, Maria","Improved likelihood estimation for noisy gamma degradation processes via sequential Monte Carlo","Communications in Statistics - Simulation and Computation","","0361-0918, 1532-4141","10.1080/03610918.2024.2358128","https://www.tandfonline.com/doi/full/10.1080/03610918.2024.2358128","The use of Gamma processes for modeling various degradation phenomena has recently gained extensive attention. In many cases, the degradation data contain measurement errors and an intractable likelihood phenomenon comes into sight. Therefore, in order to perform efficient statistical inference, one must obtain high-quality estimates of the corresponding likelihood. Our findings indicate that the crude Monte Carlo method, which is the de facto state-of-the-art method, is not adequate in practice for efficient likelihood estimation. To cope with this problem, we propose to employ the sequential Monte Carlo approach, which shows promise for improved reliability compared to the current state of the art. Our approach leads to efficient variance minimization and opens the way for effective and scalable inference procedures.","2024-06-06","2025-03-07 13:14:25","2025-03-07 13:26:06","2025-03-07 13:26:06","1-25","","","","","Communications in Statistics - Simulation and Computation","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: df89f6e8b7c44d218d8c30c19d4117b6 Publisher: Taylor & Francis","","","","Degradation process; Likelihood estimation; Sequential Monte Carlo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TK9VX2MI","journalArticle","2024","Hönen, Jens; Doumen, Sjoerd C.; Nguyen, Phuong; Hurink, Johann L.; Zwart, Bert; Kok, Koen","Modeling and Analyzing the Effect of Human Preferences on a Local Electricity Market","IEEE Transactions on Energy Markets, Policy and Regulation","","2771-9626","10.1109/TEMPR.2024.3387270","https://ieeexplore.ieee.org/document/10496199/","Local electricity markets (LEMs) have progressed significantly in recent years, but a research gap exists in understanding the influence of human preferences on the effectiveness of LEMs when home energy management systems (HEMSs) are involved. Motivated by this, this work aims to model and integrate human preferences into a HEMS, bridging the gap between end-participant and LEM. A sensitivity analysis of the parameter choices of the HEMS and their impact on the performance and outcomes of a LEM is done. Hereby, a behavior model is used to formulate the preferences and motives of households within a LEM in a bottom-up approach. Various distributed energy resources are modeled and controlled via a HEMS, allowing households to input their preferences and motives to output a tailor-made bidcurve for the LEM. A sensitivity analysis reveals that different preference settings result in different consumption profiles, which to a large extent align with the preferences. In addition, the importance of aligning market mechanisms and steering signals with the participants' goals is highlighted.","2024-06","2025-03-07 13:14:25","2025-03-07 13:26:20","2025-03-07 13:26:20","265-275","","2","2","","IEEE Trans. on Enrgy Mrkts, Pol and Reg","","","","","","","","en","https://creativecommons.org/licenses/by/4.0/legalcode","","","","DOI.org (Crossref)","","Citation Key: 8852463c9ae643e8837acf30773cdc83 Publisher: IEEE","","","","Mathematical models; Behavioral sciences; Biological system modeling; Context modeling; Electricity; Electricity supply industry; Energy conservation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8U7S2VQN","journalArticle","2024","Derumigny, Alexis; Schmidt-Hieber, Johannes","Codivergences and information matrices","Information Geometry","","2511-2481, 2511-249X","10.1007/s41884-024-00135-2","https://link.springer.com/10.1007/s41884-024-00135-2","Abstract                            We propose a new concept of codivergence, which quantifies the similarity between two probability measures                                                   $$P_1, P_2$$                                                                                        P                         1                                              ,                                                P                         2                                                                                                              relative to a reference probability measure                                                   $$P_0$$                                                               P                       0                                                                                       . In the neighborhood of the reference measure                                                   $$P_0$$                                                               P                       0                                                                                       , a codivergence behaves like an inner product between the measures                                                   $$P_1-P_0$$                                                                                        P                         1                                              -                                                P                         0                                                                                                              and                                                   $$P_2-P_0$$                                                                                        P                         2                                              -                                                P                         0                                                                                                              . Codivergences of covariance-type and correlation-type are introduced and studied with a focus on two specific correlation-type codivergences, the                                                   $$\chi ^2$$                                                               χ                       2                                                                                       -codivergence and the Hellinger codivergence. We derive explicit expressions for several common parametric families of probability distributions. For a codivergence, we introduce moreover the divergence matrix as an analogue of the Gram matrix. It is shown that the                                                   $$\chi ^2$$                                                               χ                       2                                                                                       -divergence matrix satisfies a data-processing inequality.","2024-06","2025-03-07 13:14:25","2025-03-07 13:26:14","2025-03-07 13:26:14","253-282","","1","7","","Info. Geo.","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 3598d0250abd407cb48a717c1d63b376 Publisher: Springer","","","","UT-Hybrid-D; Chi-square divergence; Divergence; Gram matrix; Hellinger affinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BJKZTEZ","journalArticle","2024","Van Lieshout, M. N. M.","Discussion of ‘Marked Spatial Point Processes: Current State and Extensions to Point Processes on Linear Networks’ by Matthias Eckardt and Mehdi Moradi","Journal of Agricultural, Biological and Environmental Statistics","","1085-7117, 1537-2693","10.1007/s13253-024-00609-x","https://link.springer.com/10.1007/s13253-024-00609-x","We congratulate Professors Eckardt and Moradi on their fine paper in which they survey the state of the art of summary statistics for marked point processes. The authors focus on non-stationary point processes and distinguish between discrete, real-valued and objectvalued marks. The case of point processes in an Euclidean space with discrete marks is by far the most well studied. Here, centre stage is taken by the cross K, H and J statistics. After a brief detour into the frequency domain, the authors consider point processes on linear networks. The concept of intensity-reweighted moment pseudo-stationarity (IRMPS) is introduced and used to define counterparts of the cross statistics just mentioned.","2024-06","2025-03-07 13:14:25","2025-03-07 13:26:52","2025-03-07 13:26:52","395-398","","2","29","","JABES","Discussion of ‘Marked Spatial Point Processes","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 98a74f57e2984b5980b5ba883df6cc63 Publisher: Springer","","","","UT-Hybrid-D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZQ33CXZ","journalArticle","2024","Behbahani, Fatemeh Mohammadi; Ahmadi, Bahman; Caglar, Ramazan","Multi-objective multiverse optimization for optimal allocation of distributed energy resources: The optimal parallel processing schemes","Electric Power Systems Research","","03787796","10.1016/j.epsr.2024.110298","https://linkinghub.elsevier.com/retrieve/pii/S037877962400186X","Utilizing Distributed Generators (DGs) and Energy Storage Systems (ESSs) enhances power system reliability, drawing significant research attention. However, these systems pose challenges, compelling scientists to explore optimization methods. Our paper presents an innovative solution, Parallel Multi-Objective Multi-Verse Optimization (PMOMVO), aimed at optimizing DGs and Battery Energy Storage Systems (BESSs) allocation. This optimization addresses voltage violations and operation costs, crucial concerns for system operators and consumers. By leveraging a parallel approach, PMOMVO significantly accelerates the optimization process. We compared its results with a base case scenario, demonstrating the superior efficiency of our parallel method. It not only enhances the optimization performance but also proves its efficacy by generating optimal solutions from the Pareto front set. This research showcases the benefits of PMOMVO, offering a faster, more efficient, and reliable way to optimize power systems, benefiting both operators and consumers.","2024-06","2025-03-07 13:14:25","2025-03-07 13:25:59","2025-03-07 13:25:59","110298","","","231","","Electric Power Systems Research","Multi-objective multiverse optimization for optimal allocation of distributed energy resources","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 7399be713d874ffda024384367e3836f Publisher: Elsevier B.V.","","","","UT-Hybrid-D; Allocation problem; Distributed generators; Energy storage system; Parallel optimization; Power system planning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHMN6YMT","journalArticle","2024","Meijer, Mirjam S.; Schol, Dennis; Van Jaarsveld, Willem; Vlasiou, Maria; Zwart, Bert","Optimization of Inventory and Capacity in Large-Scale Assembly Systems Using Extreme-Value Theory","Stochastic Systems","","1946-5238, 1946-5238","10.1287/stsy.2022.0014","https://pubsonline.informs.org/doi/10.1287/stsy.2022.0014","High-tech systems are typically produced in two stages: (1) production of components using specialized equipment and staff and (2) system assembly/integration. Component production capacity is subject to fluctuations, causing a high risk of shortages of at least one component, which results in costly delays. Companies hedge this risk by strategic investments in excess production capacity and in buffer inventories of components. To optimize these, it is crucial to characterize the relation between component shortage risk and capacity and inventory investments. We suppose that component production capacity and produce demand are normally distributed over finite time intervals, and we accordingly model the production system as a symmetric fork-join queueing network with N statistically identical queues with a common arrival process and independent service processes. Assuming a symmetric cost structure, we subsequently apply extreme value theory to gain analytic insights into this optimization problem. We derive several new results for this queueing network, notably that the scaled maximum of N steady-state queue lengths converges in distribution to a Gaussian random variable. These results translate into asymptotically optimal methods to dimension the system. Tests on a range of problems reveal that these methods typically work well for systems of moderate size.             Funding: This work is part of the research program Complexity in High-Tech Manufacturing, (partly) financed by the Dutch Research Council (NWO) [Grant 438.16.121]. The research is also supported by the NWO programs MEERVOUD to M. Vlasiou [Grant 632.003.002] and Talent VICI to B. Zwart [Grant 639.033.413].","2024-03-26","2025-03-07 13:14:25","2025-03-07 13:26:32","2025-03-07 13:26:32","stsy.2022.0014","","2","14","","Stochastic Systems","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key: 29b09ec9ca304e6e8c08aba81411ed8f Publisher: INFORMS Institute for Operations Research and the Management Sciences","","","","extreme value theory; asymptotic analysis; capacitated inventory systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
